,Location,Year_Month,Deep_Drainage,E_Actual,PET_Actual,Qtot,Rainfall,Soil_M_root_zone,P_acc_3M,ENSO,IOD,SAMI,Probability_of_Drought
0,Cobar,2000-01,2.4169921875,85.4453125,239.03125,0.2578125,5.1015625,0.2734375,15.3046875,-1.77,-0.06,3.59,0.3
1,Cobar,2000-02,2.24609375,46.8046875,184.265625,1.5078125,124.703125,0.2421875,134.90625,-1.55,0.071,2.32,0.1
2,Cobar,2000-03,2.9306640625,78.59375,140.6171875,0.9453125,64.6015625,0.396484375,194.40625,-0.98,0.24,0.74,0.0
3,Cobar,2000-04,3.3564453125,60.0234375,97.171875,0.78125,76.203125,0.333984375,265.5078125,-0.87,0.217,0.97,0.0
4,Cobar,2000-05,4.3642578125,43.3359375,67.8984375,1.46875,90.5,0.4169921875,231.3046875,-0.86,0.192,1.9,0.1
5,Cobar,2000-06,4.8779296875,33.0703125,51.5078125,0.2265625,16.203125,0.244140625,182.90625,-0.79,0.091,-0.31,0.05
6,Cobar,2000-07,5.1806640625,37.3125,60.65625,0.4453125,18.796875,0.1669921875,125.5,-0.67,0.174,0.52,0.0
7,Cobar,2000-08,5.13671875,30.2421875,79.40625,0.7109375,37.796875,0.1328125,72.796875,-0.49,0.243,-1.22,0.2
8,Cobar,2000-09,4.8349609375,29.640625,136.2734375,0.2578125,5.703125,0.1103515625,62.296875,-0.52,0.01,-3.2,0.55
9,Cobar,2000-10,4.59375,26.4140625,150.0546875,1.1171875,55.0,0.1357421875,98.5,-0.7,0.017,1.21,0.25
10,Cobar,2000-11,4.3701171875,76.859375,178.1015625,3.109375,141.296875,0.3173828125,202.0,-0.79,-0.183,-1.32,0.0
11,Cobar,2000-12,4.8232421875,91.328125,248.6171875,0.40625,11.203125,0.236328125,207.5,-0.92,-0.178,-2.05,0.2
12,Cobar,2001-01,4.29296875,37.7421875,262.1328125,0.171875,4.8984375,0.080078125,157.3984375,-0.73,-0.366,1.43,0.2
13,Cobar,2001-02,3.5029296875,51.9296875,196.7890625,2.3984375,84.703125,0.2197265625,100.8046875,-0.63,0.063,-2.7,0.15
14,Cobar,2001-03,3.716796875,61.3125,176.421875,1.078125,48.0,0.1943359375,137.6015625,-0.48,0.09,-0.57,0.05
15,Cobar,2001-04,3.46484375,32.0078125,118.875,0.109375,0.8984375,0.1015625,133.6015625,-0.49,0.212,3.49,0.0
16,Cobar,2001-05,3.4267578125,24.828125,75.8203125,0.6875,32.296875,0.1279296875,81.1953125,-0.34,0.217,-1.75,0.3
17,Cobar,2001-06,3.30859375,24.609375,52.375,1.46875,66.703125,0.2265625,99.8984375,-0.19,0.241,-0.02,0.25
18,Cobar,2001-07,3.5576171875,34.546875,57.8828125,0.5078125,20.0,0.1982421875,119.0,-0.04,-0.043,0.2,0.45
19,Cobar,2001-08,3.5078125,27.078125,90.484375,0.25,6.296875,0.1015625,93.0,-0.05,-0.189,-0.15,0.35
20,Cobar,2001-09,3.232421875,22.6484375,127.9453125,0.28125,7.6015625,0.07421875,33.8984375,-0.2,-0.117,1.46,0.25
21,Cobar,2001-10,3.10546875,28.0703125,160.828125,0.7265625,29.796875,0.09375,43.6953125,-0.14,-0.291,1.36,0.3
22,Cobar,2001-11,2.80078125,42.4921875,202.3515625,0.5390625,20.796875,0.1044921875,58.1953125,-0.37,-0.122,2.54,0.2
23,Cobar,2001-12,2.6826171875,44.5625,236.7890625,0.4765625,19.796875,0.0654296875,70.390625,-0.41,0.019,1.16,0.35
24,Cobar,2002-01,2.5244140625,21.2734375,256.625,0.1171875,2.1015625,0.013671875,42.6953125,-0.15,-0.077,2.22,0.45
25,Cobar,2002-02,2.2421875,29.1640625,162.9609375,1.859375,123.3984375,0.17578125,145.296875,-0.04,-0.018,2.8,0.45
26,Cobar,2002-03,2.69921875,75.4609375,182.2578125,0.296875,3.3984375,0.189453125,128.8984375,0.01,0.108,-4.42,0.45
27,Cobar,2002-04,2.5673828125,29.4453125,119.9609375,0.4140625,24.296875,0.0625,151.09375,0.02,-0.277,1.6,0.4
28,Cobar,2002-05,2.5693359375,18.3125,76.859375,0.15625,6.0,0.0283203125,33.6953125,0.31,-0.249,-1.69,0.7
29,Cobar,2002-06,2.4013671875,7.3359375,59.328125,0.1171875,2.6015625,0.0087890625,32.8984375,0.72,-0.076,-0.43,0.65
30,Cobar,2002-07,2.3974609375,3.2890625,67.7109375,0.0859375,0.296875,0.001953125,8.8984375,0.74,-0.164,-0.67,0.8
31,Cobar,2002-08,2.31640625,4.765625,92.796875,0.125,2.8984375,0.005859375,5.796875,0.87,-0.096,1.14,0.65
32,Cobar,2002-09,2.1767578125,15.1015625,135.1015625,0.59375,34.203125,0.068359375,37.3984375,1.09,0.392,-2.18,0.65
33,Cobar,2002-10,2.2001953125,23.7421875,194.8203125,0.078125,0.0,0.0380859375,37.1015625,1.25,0.565,-5.77,0.6
34,Cobar,2002-11,2.0625,7.953125,227.484375,0.078125,0.796875,0.00390625,35.0,1.47,0.22,0.03,0.75
35,Cobar,2002-12,2.064453125,8.7890625,251.8125,0.1328125,8.203125,0.0087890625,9.0,1.37,-0.088,1.29,0.65
36,Cobar,2003-01,2.0029296875,12.2578125,280.1875,0.1171875,6.296875,0.0283203125,15.296875,0.6,-0.174,-0.52,0.7
37,Cobar,2003-02,1.7666015625,13.96875,186.5703125,0.6484375,74.796875,0.083984375,89.296875,0.64,0.097,-0.98,0.75
38,Cobar,2003-03,2.025390625,47.015625,182.34375,0.15625,5.5,0.1640625,86.59375,0.36,0.061,-0.07,0.75
39,Cobar,2003-04,1.93359375,20.09375,111.6953125,0.328125,43.8984375,0.11328125,124.1953125,-0.14,-0.024,2.21,0.45
40,Cobar,2003-05,1.98046875,26.203125,80.3359375,0.15625,13.296875,0.130859375,62.6953125,-0.61,-0.084,1.04,0.2
41,Cobar,2003-06,1.888671875,15.4765625,58.546875,0.2109375,27.1015625,0.099609375,84.296875,-0.29,0.252,-2.52,0.25
42,Cobar,2003-07,1.9384765625,22.859375,64.1484375,0.3125,29.3984375,0.1328125,69.796875,0.21,0.228,1.2,0.55
43,Cobar,2003-08,1.98046875,31.734375,85.3125,0.7109375,71.796875,0.2080078125,128.296875,0.26,0.22,2.33,0.75
44,Cobar,2003-09,2.064453125,39.09375,131.59375,0.09375,3.203125,0.1669921875,104.3984375,0.27,0.045,-0.99,0.7
45,Cobar,2003-10,2.220703125,39.7265625,159.8515625,0.6171875,50.6015625,0.1796875,125.6015625,0.42,-0.084,0.12,0.7
46,Cobar,2003-11,2.1611328125,23.3359375,214.125,0.140625,10.1015625,0.103515625,63.90625,0.33,-0.036,-0.15,0.55
47,Cobar,2003-12,2.22265625,44.40625,252.359375,0.640625,55.6015625,0.1953125,116.3046875,0.43,0.258,-0.69,0.75
48,Cobar,2004-01,2.1513671875,40.421875,258.0078125,0.3125,35.5,0.138671875,101.203125,0.27,0.109,2.56,0.7
49,Cobar,2004-02,1.9208984375,31.9453125,217.6875,0.109375,13.203125,0.095703125,104.3046875,0.23,0.194,-3.33,0.8
50,Cobar,2004-03,1.9296875,18.7265625,187.765625,0.0390625,0.703125,0.0595703125,49.40625,0.12,0.177,0.74,0.75
51,Cobar,2004-04,1.748046875,11.3046875,127.2421875,0.0546875,5.703125,0.0400390625,19.609375,0.07,-0.005,1.2,0.75
52,Cobar,2004-05,1.72265625,8.4765625,76.6328125,0.34375,42.8984375,0.068359375,49.3046875,0.06,-0.485,-0.15,0.7
53,Cobar,2004-06,1.7705078125,20.125,54.8671875,0.390625,42.3984375,0.263671875,91.0,0.13,-0.27,1.69,0.55
54,Cobar,2004-07,1.9697265625,29.9296875,58.75,0.1875,23.203125,0.177734375,108.5,0.49,-0.204,2.52,0.25
55,Cobar,2004-08,1.9921875,31.0859375,84.4765625,0.140625,17.5,0.1201171875,83.1015625,0.76,-0.02,0.0,0.9
56,Cobar,2004-09,1.8916015625,25.9453125,123.1171875,0.15625,11.3984375,0.0947265625,52.1015625,0.81,0.0,1.77,0.8
57,Cobar,2004-10,1.91015625,37.1796875,184.515625,0.4609375,35.1015625,0.13671875,64.0,0.73,0.155,-0.59,0.85
58,Cobar,2004-11,1.7705078125,27.4375,208.546875,0.1328125,13.796875,0.0712890625,60.296875,0.66,-0.03,-1.18,0.9
59,Cobar,2004-12,1.736328125,35.90625,253.875,0.328125,43.0,0.125,91.8984375,0.74,-0.063,-1.02,0.75
60,Cobar,2005-01,1.6708984375,33.828125,264.578125,0.0390625,1.703125,0.0517578125,58.5,0.66,-0.058,1.07,0.8
61,Cobar,2005-02,1.4501953125,11.7109375,212.5234375,0.03125,1.6015625,0.01171875,46.3046875,0.36,-0.48,1.59,0.9
62,Cobar,2005-03,1.560546875,6.7421875,186.3828125,0.0390625,3.8984375,0.0078125,7.203125,0.45,-0.332,-0.12,0.85
63,Cobar,2005-04,1.46875,4.3671875,137.7578125,0.0234375,0.703125,0.0048828125,6.203125,0.26,0.16,3.46,0.45
64,Cobar,2005-05,1.4775390625,1.78125,83.4609375,0.0234375,0.203125,0.0009765625,4.8046875,0.3,0.046,-0.45,0.9
65,Cobar,2005-06,1.408203125,6.7109375,56.2421875,0.7109375,123.6015625,0.123046875,124.5078125,0.04,-0.062,-0.41,0.75
66,Cobar,2005-07,1.806640625,25.5625,58.7734375,0.375,14.296875,0.3779296875,138.1015625,-0.23,-0.287,-0.5,0.4
67,Cobar,2005-08,2.1357421875,42.890625,87.25,0.171875,25.796875,0.2509765625,163.6953125,-0.05,-0.233,0.5,0.25
68,Cobar,2005-09,2.177734375,55.0546875,114.625,0.3984375,58.703125,0.20703125,98.796875,-0.04,-0.428,0.39,0.3
69,Cobar,2005-10,2.3017578125,25.15625,165.9453125,0.109375,10.703125,0.12109375,95.203125,-0.06,-0.276,-0.11,0.45
70,Cobar,2005-11,2.197265625,17.0234375,218.1484375,0.0703125,6.8984375,0.0859375,76.3046875,-0.59,-0.149,0.66,0.25
71,Cobar,2005-12,2.173828125,17.4609375,265.46875,0.0390625,2.3984375,0.05859375,20.0,-0.92,-0.23,-2.76,0.7
72,Cobar,2006-01,2.0517578125,21.640625,255.3359375,0.3046875,52.1015625,0.1162109375,61.3984375,-0.91,-0.07,0.56,0.6
73,Cobar,2006-02,1.833984375,33.4765625,214.515625,0.0234375,1.6015625,0.1240234375,56.1015625,-0.67,-0.225,-1.85,0.3
74,Cobar,2006-03,1.955078125,22.03125,176.8515625,0.328125,60.796875,0.0888671875,114.5,-0.71,-0.126,1.66,0.1
75,Cobar,2006-04,1.9130859375,37.3671875,108.328125,0.0703125,3.5,0.16015625,65.8984375,-0.32,0.06,-0.69,0.35
76,Cobar,2006-05,1.9462890625,16.5859375,75.2109375,0.0390625,3.703125,0.0693359375,68.0,-0.09,-0.128,2.28,0.3
77,Cobar,2006-06,1.8525390625,11.453125,51.9375,0.453125,88.796875,0.1552734375,96.0,0.0,0.055,2.05,0.55
78,Cobar,2006-07,2.1591796875,26.2109375,57.359375,0.375,37.6015625,0.322265625,130.1015625,0.01,0.137,1.61,0.15
79,Cobar,2006-08,2.4384765625,44.0078125,87.9921875,0.0546875,0.796875,0.201171875,127.1953125,0.31,0.341,-2.64,0.7
80,Cobar,2006-09,2.3544921875,29.390625,134.8203125,0.2109375,22.296875,0.1123046875,60.6953125,0.6,0.534,-0.26,0.6
81,Cobar,2006-10,2.3408203125,15.3046875,197.53125,0.0390625,0.3984375,0.0634765625,23.4921875,0.7,0.736,1.79,0.7
82,Cobar,2006-11,2.130859375,21.671875,228.953125,0.09375,9.6015625,0.05859375,32.296875,0.99,0.624,0.14,0.65
83,Cobar,2006-12,2.044921875,22.484375,231.15625,0.0859375,10.703125,0.037109375,20.703125,1.14,0.241,1.34,0.75
84,Cobar,2007-01,1.947265625,27.015625,242.2109375,0.1484375,23.3984375,0.06640625,43.703125,0.7,0.29,0.03,0.85
85,Cobar,2007-02,1.703125,19.8125,205.75,0.0625,10.203125,0.029296875,44.3046875,0.13,0.23,2.36,0.7
86,Cobar,2007-03,1.83203125,15.8515625,179.984375,0.109375,22.203125,0.03125,55.8046875,-0.18,0.216,-0.77,0.3
87,Cobar,2007-04,1.73046875,16.9375,124.2109375,0.0703125,10.796875,0.0439453125,43.203125,-0.32,0.175,-0.33,0.45
88,Cobar,2007-05,1.7509765625,20.2890625,83.2890625,0.2421875,45.0,0.0859375,78.0,-0.47,0.349,-1.02,0.1
89,Cobar,2007-06,1.6962890625,20.8359375,51.96875,0.109375,17.0,0.1259765625,72.796875,-0.35,0.144,-0.65,0.25
90,Cobar,2007-07,1.732421875,21.9453125,62.9609375,0.0546875,2.296875,0.078125,64.296875,-0.59,0.141,-2.67,0.25
91,Cobar,2007-08,1.6884765625,16.59375,98.203125,0.109375,14.1015625,0.05859375,33.3984375,-0.72,0.349,-0.28,0.2
92,Cobar,2007-09,1.5888671875,8.6015625,137.109375,0.03125,0.0,0.025390625,16.3984375,-1.11,0.341,-1.88,0.25
93,Cobar,2007-10,1.5947265625,9.6171875,187.46875,0.078125,11.296875,0.015625,25.3984375,-1.39,0.227,-0.86,0.25
94,Cobar,2007-11,1.5751953125,43.625,179.0859375,1.3125,144.203125,0.20703125,155.5,-1.54,0.1,0.03,0.0
95,Cobar,2007-12,1.9462890625,96.796875,232.1171875,1.125,101.796875,0.3740234375,257.296875,-1.58,-0.157,2.8,0.05
96,Cobar,2008-01,2.244140625,88.375,239.96875,2.703125,153.1015625,0.28515625,399.1015625,-1.68,0.18,2.56,0.0
97,Cobar,2008-02,2.8408203125,86.6171875,177.5625,3.171875,64.5,0.4755859375,319.3984375,-1.67,0.008,1.09,0.0
98,Cobar,2008-03,3.423828125,51.109375,177.1015625,0.484375,55.3984375,0.2060546875,273.0,-1.21,0.197,0.63,0.0
99,Cobar,2008-04,3.4345703125,38.7265625,112.40625,0.1015625,5.3984375,0.1787109375,125.296875,-0.99,-0.078,-0.81,0.05
100,Cobar,2008-05,3.533203125,13.234375,79.4453125,0.0625,1.5,0.09765625,62.296875,-0.84,0.258,-0.66,0.2
101,Cobar,2008-06,3.41796875,14.1875,52.9375,0.453125,47.203125,0.18359375,54.1015625,-0.68,0.329,3.0,0.1
102,Cobar,2008-07,3.607421875,24.5,63.8125,0.0859375,2.796875,0.1318359375,51.5,-0.3,0.343,0.23,0.3
103,Cobar,2008-08,3.5390625,11.453125,82.6640625,0.1328125,12.203125,0.076171875,62.203125,-0.13,0.237,0.6,0.25
104,Cobar,2008-09,3.2744140625,21.4140625,134.59375,0.28125,14.296875,0.0908203125,29.296875,-0.25,0.192,0.46,0.35
105,Cobar,2008-10,3.1376953125,24.9765625,197.109375,0.125,5.3984375,0.0693359375,31.8984375,-0.35,0.188,2.21,0.25
106,Cobar,2008-11,2.7666015625,23.5546875,186.703125,0.53125,46.203125,0.1005859375,65.8984375,-0.46,-0.005,1.03,0.4
107,Cobar,2008-12,2.6689453125,45.8046875,246.2890625,0.234375,14.6015625,0.1201171875,66.203125,-0.86,0.016,1.01,0.35
108,Cobar,2009-01,2.4326171875,35.859375,262.96875,0.34375,29.5,0.076171875,90.3046875,-0.89,0.097,2.02,0.25
109,Cobar,2009-02,2.1025390625,46.3671875,192.671875,1.265625,94.796875,0.21484375,138.8984375,-0.79,0.243,0.94,0.0
110,Cobar,2009-03,2.47265625,66.125,181.5390625,0.1796875,13.5,0.181640625,137.796875,-0.69,0.2,0.5,0.05
111,Cobar,2009-04,2.3369140625,26.015625,114.78125,0.2734375,25.6015625,0.1044921875,133.8984375,-0.35,0.201,-0.43,0.2
112,Cobar,2009-05,2.345703125,18.0390625,78.65625,0.3515625,31.6015625,0.099609375,70.703125,0.06,0.336,-0.14,0.7
113,Cobar,2009-06,2.384765625,24.2734375,52.5625,1.25,102.5,0.2978515625,159.703125,0.31,0.214,0.54,0.7
114,Cobar,2009-07,2.873046875,31.0859375,58.5703125,0.40625,19.1015625,0.328125,153.203125,0.48,-0.095,-0.13,0.55
115,Cobar,2009-08,3.0859375,44.03125,90.6328125,0.09375,1.0,0.1708984375,122.6015625,0.56,0.008,-2.44,0.35
116,Cobar,2009-09,2.904296875,23.3828125,130.828125,0.2421875,14.3984375,0.08984375,34.5,0.68,0.003,-0.78,0.7
117,Cobar,2009-10,2.849609375,19.6640625,171.9609375,0.4375,30.6015625,0.0732421875,46.0,0.89,0.147,1.47,0.55
118,Cobar,2009-11,2.5849609375,39.125,232.78125,0.21875,11.0,0.0986328125,56.0,1.46,0.056,-1.2,0.6
119,Cobar,2009-12,2.505859375,34.390625,239.78125,0.4765625,39.796875,0.06640625,81.3984375,1.74,0.23,1.09,0.55
120,Cobar,2010-01,2.4423828125,52.84375,260.9765625,0.234375,15.703125,0.099609375,66.5,1.52,0.359,-0.4,0.7
121,Cobar,2010-02,2.3369140625,58.1484375,166.0234375,2.375,155.8984375,0.3310546875,211.3984375,1.25,0.103,-2.12,0.7
122,Cobar,2010-03,3.005859375,75.4375,164.6171875,0.3125,29.6015625,0.2353515625,201.203125,0.9,0.558,0.04,0.5
123,Cobar,2010-04,2.8857421875,42.578125,110.7265625,0.4296875,34.3984375,0.12890625,219.8984375,0.38,0.445,0.08,0.45
124,Cobar,2010-05,2.8896484375,17.3671875,75.53125,0.3125,28.703125,0.08203125,92.703125,-0.22,0.05,1.51,0.15
125,Cobar,2010-06,2.724609375,21.359375,55.125,0.328125,19.0,0.1259765625,82.1015625,-0.69,-0.026,3.14,0.2
126,Cobar,2010-07,2.7744140625,30.59375,57.78125,0.90625,78.296875,0.1650390625,126.0,-1.07,0.096,3.37,0.05
127,Cobar,2010-08,2.8740234375,40.578125,76.6328125,0.7890625,26.703125,0.2490234375,124.0,-1.39,0.051,1.24,0.1
128,Cobar,2010-09,2.8837890625,57.53125,110.2734375,0.765625,45.703125,0.2099609375,150.703125,-1.6,-0.162,-0.33,0.05
129,Cobar,2010-10,3.001953125,57.3984375,150.2109375,1.4765625,87.6015625,0.2109375,160.0078125,-1.69,-0.277,3.19,0.0
130,Cobar,2010-11,2.9873046875,66.3828125,177.796875,2.328125,115.203125,0.2607421875,248.5078125,-1.64,-0.372,3.88,0.05
131,Cobar,2010-12,3.443359375,97.6796875,211.40625,1.2578125,63.796875,0.31640625,266.6015625,-1.6,-0.142,0.25,0.05
132,Cobar,2011-01,3.4208984375,57.234375,244.453125,0.421875,22.296875,0.1572265625,201.296875,-1.54,0.257,0.48,0.05
133,Cobar,2011-02,2.9404296875,48.875,185.96875,1.0,65.796875,0.20703125,151.890625,-1.11,0.322,0.87,0.0
134,Cobar,2011-03,3.169921875,45.390625,155.296875,0.3671875,22.703125,0.1435546875,110.796875,-0.93,0.467,-0.79,0.0
135,Cobar,2011-04,2.9365234375,24.140625,113.78125,0.2578125,13.3984375,0.091796875,101.8984375,-0.77,0.229,1.62,0.0
136,Cobar,2011-05,2.91015625,17.265625,74.203125,0.6484375,38.6015625,0.107421875,74.703125,-0.52,-0.01,1.37,0.25
137,Cobar,2011-06,2.771484375,23.4296875,59.1171875,0.1328125,2.5,0.1240234375,54.5,-0.38,0.169,0.72,0.25
138,Cobar,2011-07,2.7861328125,16.8671875,62.390625,0.2734375,11.8984375,0.0771484375,53.0,-0.43,0.319,-1.52,0.2
139,Cobar,2011-08,2.6748046875,19.7421875,93.15625,0.3984375,18.5,0.078125,32.8984375,-0.65,0.457,-0.73,0.2
140,Cobar,2011-09,2.458984375,22.8671875,135.3125,0.3671875,24.296875,0.0673828125,54.6953125,-0.8,0.308,-1.79,0.2
141,Cobar,2011-10,2.419921875,37.2578125,176.6015625,0.5625,25.1015625,0.10546875,67.8984375,-1.05,0.516,0.59,0.2
142,Cobar,2011-11,2.21875,39.40625,187.9296875,1.0,57.3984375,0.103515625,106.796875,-1.19,0.459,-1.41,0.2
143,Cobar,2011-12,2.279296875,69.2734375,219.703125,0.6875,43.796875,0.1611328125,126.296875,-1.06,-0.059,3.43,0.1
144,Cobar,2012-01,2.2275390625,40.8984375,226.375,1.28125,106.703125,0.107421875,207.8984375,-0.87,0.111,3.08,0.05
145,Cobar,2012-02,2.240234375,77.1953125,182.765625,0.703125,52.5,0.244140625,203.0,-0.67,0.002,-1.53,0.15
146,Cobar,2012-03,2.7578125,83.9765625,158.3359375,1.609375,87.3984375,0.357421875,246.6015625,-0.61,0.126,0.48,0.0
147,Cobar,2012-04,2.771484375,36.46875,115.8828125,0.078125,0.3984375,0.1005859375,140.296875,-0.5,-0.196,2.18,0.05
148,Cobar,2012-05,2.7587890625,17.4453125,78.2265625,0.2265625,12.5,0.0654296875,100.296875,-0.32,-0.29,0.47,0.4
149,Cobar,2012-06,2.59375,19.765625,53.546875,0.5234375,33.703125,0.123046875,46.6015625,0.02,0.115,1.46,0.2
150,Cobar,2012-07,2.6220703125,28.9453125,64.640625,0.46875,27.1015625,0.1123046875,73.3046875,0.25,0.643,3.18,0.1
151,Cobar,2012-08,2.544921875,15.9453125,91.8046875,0.09375,0.6015625,0.0576171875,61.40625,0.47,0.764,1.34,0.55
152,Cobar,2012-09,2.361328125,14.328125,134.2109375,0.2265625,15.6015625,0.0302734375,43.3046875,0.38,0.559,0.09,0.9
153,Cobar,2012-10,2.34765625,20.765625,189.625,0.203125,2.3984375,0.0537109375,18.6015625,0.26,0.27,0.83,0.65
154,Cobar,2012-11,2.205078125,27.9375,220.75,0.3984375,28.203125,0.052734375,46.203125,0.16,0.024,-0.84,0.75
155,Cobar,2012-12,2.21484375,23.28125,261.5703125,0.15625,6.796875,0.0263671875,37.3984375,-0.25,0.337,-0.9,0.4
156,Cobar,2013-01,2.1435546875,9.765625,280.515625,0.078125,2.3984375,0.005859375,37.3984375,-0.53,0.001,0.71,0.7
157,Cobar,2013-02,1.876953125,6.71875,197.9921875,0.1171875,17.796875,0.0107421875,26.9921875,-0.52,0.269,2.84,0.05
158,Cobar,2013-03,2.09765625,42.4140625,178.484375,0.8203125,56.796875,0.169921875,76.9921875,-0.25,0.183,2.31,0.05
159,Cobar,2013-04,2.0068359375,19.3671875,120.40625,0.046875,0.0,0.0556640625,74.59375,-0.25,-0.222,-0.07,0.6
160,Cobar,2013-05,2.01171875,8.0390625,83.3515625,0.21875,23.8984375,0.0576171875,80.6953125,-0.4,-0.426,0.88,0.05
161,Cobar,2013-06,2.0009765625,18.765625,49.1875,0.8828125,89.203125,0.265625,113.1015625,-0.42,-0.383,0.23,0.2
162,Cobar,2013-07,2.349609375,31.90625,65.171875,0.40625,37.3984375,0.294921875,150.5,-0.39,-0.083,1.17,0.05
163,Cobar,2013-08,2.5380859375,41.03125,95.3359375,0.0859375,1.0,0.1796875,127.6015625,-0.38,-0.082,-3.25,0.2
164,Cobar,2013-09,2.4267578125,24.5625,144.09375,0.2734375,22.203125,0.103515625,60.6015625,-0.18,-0.204,-2.72,0.5
165,Cobar,2013-10,2.4404296875,20.0546875,203.2421875,0.1171875,7.296875,0.0771484375,30.5,-0.2,-0.009,-1.39,0.9
166,Cobar,2013-11,2.259765625,15.4921875,227.359375,0.0625,1.6015625,0.0478515625,31.1015625,-0.14,0.323,1.07,0.2
167,Cobar,2013-12,2.21484375,20.9921875,255.828125,0.2734375,31.0,0.0595703125,39.8984375,-0.17,0.21,0.77,0.35
168,Cobar,2014-01,2.130859375,30.03125,273.5703125,0.078125,4.3984375,0.08203125,37.0,-0.49,-0.036,-0.13,0.8
169,Cobar,2014-02,1.896484375,28.4140625,203.6796875,2.3515625,84.1015625,0.146484375,119.5,-0.62,-0.009,0.36,0.65
170,Cobar,2014-03,2.349609375,70.8671875,157.6796875,0.5,57.0,0.265625,145.5,-0.28,-0.051,1.34,0.1
171,Cobar,2014-04,2.306640625,39.75,112.2265625,0.2109375,29.796875,0.126953125,170.8984375,0.08,0.017,1.18,0.65
172,Cobar,2014-05,2.3359375,22.0625,82.359375,0.15625,15.796875,0.1044921875,102.59375,0.32,-0.012,-1.62,0.65
173,Cobar,2014-06,2.2353515625,19.421875,57.3359375,0.359375,35.6015625,0.15234375,81.1953125,0.23,0.086,-0.21,0.8
174,Cobar,2014-07,2.2822265625,16.1171875,68.6796875,0.0625,0.796875,0.0830078125,52.1953125,-0.06,-0.266,0.68,0.45
175,Cobar,2014-08,2.228515625,15.53125,86.71875,0.4296875,36.6015625,0.109375,73.0,-0.03,-0.26,1.97,0.2
176,Cobar,2014-09,2.126953125,29.265625,131.125,0.171875,14.796875,0.1015625,52.1953125,0.29,-0.039,-1.62,0.6
177,Cobar,2014-10,2.111328125,22.25,201.703125,0.0625,0.3984375,0.056640625,51.796875,0.44,0.3,1.32,0.55
178,Cobar,2014-11,1.9306640625,19.578125,236.171875,0.0703125,4.296875,0.025390625,19.4921875,0.75,0.133,0.35,0.95
179,Cobar,2014-12,1.9140625,20.828125,243.515625,0.2109375,24.6015625,0.0556640625,29.296875,0.71,0.116,2.45,0.65
180,Cobar,2015-01,1.908203125,42.375,219.8203125,0.5078125,59.203125,0.1435546875,88.1015625,0.51,-0.034,1.35,0.6
181,Cobar,2015-02,1.73828125,44.765625,210.0234375,0.140625,19.5,0.072265625,103.3046875,0.42,-0.265,4.92,0.35
182,Cobar,2015-03,1.875,11.9296875,192.5625,0.03125,0.1015625,0.01171875,78.8046875,0.47,-0.141,0.88,0.7
183,Cobar,2015-04,1.7626953125,7.1328125,109.40625,0.1328125,22.0,0.033203125,41.6015625,0.7,0.067,2.03,0.9
184,Cobar,2015-05,1.7841796875,15.03125,78.34375,0.328125,62.703125,0.0888671875,84.8046875,0.92,0.32,0.41,0.95
185,Cobar,2015-06,1.8271484375,21.953125,50.78125,0.4765625,54.203125,0.2744140625,138.90625,1.18,0.41,2.41,0.9
186,Cobar,2015-07,2.173828125,28.6875,56.546875,0.2578125,31.703125,0.298828125,148.609375,1.46,0.322,2.0,0.65
187,Cobar,2015-08,2.3623046875,44.0625,81.765625,0.21875,24.1015625,0.19921875,110.0078125,1.93,0.68,1.86,0.75
188,Cobar,2015-09,2.2900390625,27.640625,127.3046875,0.0859375,4.296875,0.109375,60.1015625,2.21,0.4,1.91,0.75
189,Cobar,2015-10,2.2900390625,20.875,198.9609375,0.140625,15.8984375,0.0703125,44.296875,2.36,0.642,-0.66,0.7
190,Cobar,2015-11,2.177734375,39.5625,222.6328125,0.46875,52.8984375,0.1748046875,73.09375,2.72,0.47,1.46,0.75
191,Cobar,2015-12,2.2060546875,38.546875,242.3984375,0.1640625,20.5,0.09375,89.296875,2.66,0.341,0.72,0.65
192,Cobar,2016-01,2.115234375,29.8359375,229.296875,0.234375,35.1015625,0.0693359375,108.5,2.57,0.331,3.13,0.45
193,Cobar,2016-02,1.923828125,34.4765625,226.6953125,0.0703125,3.6015625,0.0830078125,59.203125,2.26,-0.03,1.35,0.8
194,Cobar,2016-03,1.998046875,20.5390625,171.7578125,0.1796875,29.3984375,0.0615234375,68.1015625,1.62,0.091,4.36,0.5
195,Cobar,2016-04,1.8916015625,21.015625,131.2265625,0.1015625,26.0,0.037109375,59.0,0.91,0.222,1.06,0.75
196,Cobar,2016-05,1.947265625,26.1796875,75.5390625,0.5,54.6015625,0.1650390625,110.0,0.3,-0.034,-0.92,0.65
197,Cobar,2016-06,2.1337890625,22.90625,47.1171875,1.03125,123.6015625,0.3935546875,204.203125,-0.03,-0.329,3.66,0.3
198,Cobar,2016-07,3.01953125,32.21875,58.90625,0.3515625,31.796875,0.416015625,210.0,-0.48,-0.661,0.81,0.05
199,Cobar,2016-08,3.619140625,47.8828125,78.3046875,0.4609375,59.796875,0.322265625,215.1953125,-0.58,-0.332,-1.28,0.05
200,Cobar,2016-09,4.08984375,62.1484375,101.8203125,1.2109375,97.203125,0.416015625,188.796875,-0.58,-0.331,2.46,0.0
